model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Total (w/o export correction),TWh/year,533.879078,495.1194395,536.876415,582.9,626.9,670.9,720
remind,SSP2-NPi,M23_ref,FR,Transformation|Electricity|High to medium,TWh/year,475.8168472,438.1758221,443.6468981,503.0854109,541.9358572,580.7863035,701.16635
remind,SSP2-NPi,M23_ref,FR,Transformation|Electricity|Medium to low,TWh/year,477.779078,440.1194395,447.3058845,504.98,543.655,582.33,702.82
remind,SSP2-NPi,M23_ref,FR,Compensation for losses|Electricity|High,ratio,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434
remind,SSP2-NPi,M23_ref,FR,Compensation for losses|Electricity|Medium,ratio,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607
remind,SSP2-NPi,M23_ref,FR,Compensation for losses|Electricity|Low,ratio,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.69405908,35.90628668,36.11851427,38.40706479
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.38784862,18.49717799,18.60650735,19.78545762
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.411295248,6.521294629,10.63129401,13.99215109
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.81838051,70.84509436,82.87180821,108.6939949
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.84565449,40.25241804,64.65918159,148.4465301
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.42778178,60.65192517,84.87606856,133.8057362
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.239059873,2.295943618,2.352827363,2.50190781
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.239059873,2.295943618,2.352827363,2.50190781
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,261.4047027,218.9000865,85.62084507
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,18.64833539,37.29667078,83.02627401
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0,0,0,0
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,15.80087329,9.252005252,2.703137214,0.305788732
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,7.661029473,4.485820728,1.310611983,0.148261204
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.478814342,0.280363796,0.081913249,0.009266325
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,0,0,5.281805378
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.172235375,0.086117688,0,7.135070423
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.894589123,1.731570349,1.568551575,1.66793854
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,5.35,7.7,33.06
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Export,TWh/year,57.7,57.7,89.9089705,80.92,82.095,83.27,51.57
remind,SSP2-NPi,N1_ref,FR,Production|Electricity|Total (w/o export correction),TWh/year,533.879078,495.1194395,536.876415,582.9,615.25,647.6,702.9
remind,SSP2-NPi,N1_ref,FR,Transformation|Electricity|High to medium,TWh/year,475.8168472,438.1758221,443.6468981,503.0854109,536.7734297,570.4614484,682.7220615
remind,SSP2-NPi,N1_ref,FR,Transformation|Electricity|Medium to low,TWh/year,477.779078,440.1194395,447.3058845,504.98,538.505,572.03,684.39
